,Iata_Code,Icao_Code,Call_Sign,Name,Country_Code
129,AM,AMX,AEROMEXICO,Aerom̩xico,181
130,2T,ANH,ALAJNIHAH,Alajnihah for Air Transport,151
131,TL,ANO,TOPEND,Airnorth,81
132,OY,ANS,AEROANDES,Andes Lineas Aereas,211
133,IW,AOM,French Lines,AOM French Airlines,121
134,5T,ANW,AVINOR,"Aviacion Del Noroeste, S.A. de C.V.",181
135,JN,SAP,TOBOL,Avia Jaynar,161
136,PJ,AOA,ALCON,"Alcon Servicios Aereos, S.A. de C.V.",111
137,J6,AOC,AERO AVCOM,AVCOM,111
138,2D,AOG,AVIP,Aero VIP,41
139,OE,AOT,ASIA OVERNIGHT,Asia Overnight Express,31
140,GV,ARF,Aero Fox,Aero Flight,81
141,WL,APP,AEROPERLAS,"Aerolineas Pacifico Atlantico, S.A. (Apair)",101
142,JW,APW,BIG A,Arrow Air,71
143,W3,ARA,ARIK AIR,Arik Air,131
144,2B,ARD,AEROCONDOR,Aerocondor,1
145,4C,ARE,AIRES,"Aires, Aerovias de Integracion Regional, S.A.",21
146,AR,ARG,ARGENTINA,Aerolineas Argentinas,131
147,AS,ASA,ALASKA,"Alaska Airlines, Inc.",111
148,PL,ASE,MOROZOV,Airstars,121
149,OB,ASZ,AIR ASTRAKHAN,Astrakhan Airlines,201
150,HC,ATI,,Aero-Tropics Air Services,11
151,FO,ATM,AIRTAS,Airlines of Tasmania,51
152,ZF,ATW,AERO TRADES,Aero Trades (Western) Ltd.,81
153,OS,AUA,AUSTRIAN,Austrian Airlines,21
154,IQ,AUB,AUGSBURG-AIR,Augsburg Airways,11
155,RU,ABW,AIRBRIDGE CARGO,AirBridge Cargo,181
156,MO,AUH,SULTAN,Abu Dhabi Amiri Flight,51
157,5N,AUL,DVINA,Aeroflot-Nord,121
158,GR,AUR,AYLINE,Aurigny Air Services,181
159,NO,AUS,,Aus-Air,51
160,AU,AUT,AUSTRAL,Austral Lineas Aereas,141
161,AO,AUZ,AUSTRALIAN,Australian Airlines,211
162,AV,AVA,AVIANCA,"Avianca - Aerovias Nacionales de Colombia, S.A.",111
163,Z7,AVJ,ATOMIC,Avia Traffic Company,201
164,K8,ZAK,,Airlink Zambia,121
